term,score
patients,0.11309235458723951
group,0.05367195665668647
study,0.04212392258012957
years,0.03285877482996376
risk,0.03240560255656396
treatment,0.03160494839419774
age,0.030982020273044013
women,0.03044395702893132
groups,0.029142942320564247
using,0.028507297294053567
compared,0.028442916442342432
health,0.028293612207855194
mean,0.027871481062661695
clinical,0.02772859602295275
significant,0.027652374525699398
children,0.027500219838803575
95,0.02734733403688651
disease,0.02711384117017116
cancer,0.027108845406434632
associated,0.02648453956629248
care,0.02633758231636931
patient,0.02597177114421669
time,0.025925013702002446
data,0.02579456623737755
significantly,0.02541387074948253
surgery,0.025212537070462716
analysis,0.025039568212711166
vs,0.024887806014346404
used,0.02472143214512685
ci,0.024398010378920126
cases,0.02427271766205049
10,0.024231391636671453
use,0.0239289567621678
months,0.02348881576808653
performed,0.022817289812709196
rate,0.022150468632856656
total,0.021957045057790857
higher,0.021691474209588214
levels,0.02138294799644895
control,0.021043533299523024
hospital,0.020751925577231344
year,0.020464747503435927
high,0.020277670946706353
12,0.020196020584226964
test,0.019994745478807627
respectively,0.01976310942460155
001,0.019499452354790264
non,0.01946415695534367
medical,0.018773185526338675
based,0.018650456475082466
positive,0.018629083809521628
increased,0.01857627662093177
blood,0.018538445598416303
follow,0.01841652305065686
does,0.018047608611645477
factors,0.01802448854671698
differences,0.01796218797636751
included,0.01783928228967796
related,0.01772844500089781
pain,0.017679459064658745
determine,0.017668994008766044
survival,0.01750934458997854
reported,0.017371904904979953
results,0.017312172996135928
difference,0.01707517181288878
subjects,0.017069164360425867
underwent,0.017062409436865104
mortality,0.01705202695952072
primary,0.01692121368923895
symptoms,0.01691867504220007
outcome,0.016884251351266845
level,0.01687563152189162
different,0.016816189517208296
rates,0.016811851917724913
score,0.01670424803857318
lower,0.0166803485048618
low,0.016667715029558074
20,0.016545161244065337
showed,0.0164697746883527
therapy,0.016392742062841408
diagnosis,0.016363531482276882
did,0.016201767123423756
30,0.01609122832465474
number,0.01598584155882101
15,0.015913065677794973
surgical,0.01576412378109835
05,0.01567440246766823
days,0.015536585517301294
treated,0.015497471961609891
period,0.015372972640495506
effect,0.015339826226206438
outcomes,0.015249989696317185
scores,0.014854329460550738
11,0.014845332727943647
studies,0.01482197340722534
range,0.014806167007122987
assessed,0.014710659512939345
18,0.014605043314803109
quality,0.014545085385133716
identified,0.014465165003947133
24,0.014417565073618688
median,0.014389524643060893
men,0.014389120344365675
postoperative,0.014290904503196105
association,0.014261597775217297
type,0.014257662007834234
evaluated,0.014196127588734264
14,0.014151824976306364
measured,0.01411106685097264
mm,0.013983462934215317
complications,0.013887181484012903
normal,0.013737872909457416
versus,0.013718713969616273
population,0.013698720606506946
observed,0.013581780632994051
13,0.013520042911792403
ratio,0.013507126123424458
50,0.013492930173410479
aim,0.013453797960416982
participants,0.01340831590929961
25,0.013355831756290664
status,0.013321271265275287
assess,0.013295799061721908
early,0.013246068648395231
index,0.013235510912335234
16,0.013146094061862023
response,0.013133620864876575
evaluate,0.01311738556830442
acute,0.013103619080560874
ct,0.013047684895668252
overall,0.013025210794481268
regression,0.01288584249206658
effects,0.012788109420150635
day,0.01276465730586991
controls,0.012679692981344186
cell,0.012657307523666065
function,0.01264524721264986
model,0.012610749458571878
negative,0.012580716518150624
pressure,0.012474970487872685
serum,0.012407078706246945
general,0.012377113098526763
changes,0.012347060041646466
activity,0.012342794840985926
increase,0.01231112432067336
weight,0.012301523728479887
incidence,0.012276093621408536
received,0.01226417674361636
life,0.012219197636989696
weeks,0.012066691813682836
similar,0.012058540384335285
case,0.012057880693001058
ml,0.012055117964692821
tumor,0.011952932468490489
chronic,0.01195204103738537
injury,0.01193863353970417
01,0.01180154370191525
self,0.011799053440884244
survey,0.011796363717426666
17,0.011788809642858103
new,0.011769830262551694
analyzed,0.011722057534618462
breast,0.011672160042784723
value,0.011636069364858559
factor,0.011609814735255757
values,0.011555930103076437
infection,0.011552292965955517
following,0.011528162990718396
retrospective,0.011480739203233649
baseline,0.011458673918882107
correlation,0.011451983519611877
examined,0.01142767048963473
prevalence,0.011400472683256689
presence,0.011396904231726762
stage,0.011328803779774788
40,0.011307543168030822
body,0.011231893231450091
questionnaire,0.01122374754635411
specific,0.01121801630732368
practice,0.01121073938656742
information,0.011202620716099648
assessment,0.01120183296049258
including,0.011189950738590321
present,0.011112726760143125
100,0.011075191342155698
management,0.011069168083325741
criteria,0.011040187119243716
obtained,0.011007927988964102
standard,0.010987951417752091
relationship,0.010969766271669774
imaging,0.010934989224779687
term,0.010849094371672821
findings,0.010845987501237785
renal,0.010844388384380538
cohort,0.010842688294949686
greater,0.010750645512110352
statistically,0.0107347568600897
post,0.010715556670661127
physical,0.010707234904162505
change,0.010694549171586663
characteristics,0.0106768101736527
21,0.010674098732651712
volume,0.010647838922280458
performance,0.010633777191725651
single,0.010632651980911402
evidence,0.010627492382429162
sample,0.010602217183029665
likely,0.010519771729639782
heart,0.010515787333443053
conducted,0.010495105090653954
19,0.010487334691295608
60,0.01045320216325709
diabetes,0.010426299149619674
depression,0.010408884369196156
sensitivity,0.010361602659173135
scale,0.010353525366505344
common,0.0103047810042799
syndrome,0.01030086659021315
intervention,0.010291424322081117
22,0.010283462298122846
mg,0.010253972833884214
according,0.010201031913336583
average,0.010175535515735683
lesions,0.010166736873512008
cardiac,0.010144533457933745
artery,0.010123974049667195
left,0.01011340154575039
dose,0.010089680899805475
procedure,0.01006427190628148
role,0.010042049084794152
prospective,0.00998855928359042
coronary,0.009972423921164333
long,0.00995298166048608
screening,0.009952380807859169
healthy,0.00994845884652589
interval,0.009941033610729306
examination,0.00990721254980944
size,0.009905523255702953
severe,0.00989617356631407
impact,0.009834961107960775
measures,0.00982597690205944
diagnostic,0.009818269526019404
investigate,0.009768855986065321
variables,0.009666077403564274
review,0.009624312840143643
23,0.009618286198185205
history,0.009596666163583017
reviewed,0.009532618789232908
36,0.00952720359980438
28,0.009519294103893353
stroke,0.009512835671143761
failure,0.009506935896252754
consecutive,0.009486458749417673
evaluation,0.009474844849114422
ii,0.009464167458921787
min,0.009441213646220425
analyses,0.009441067960589815
diagnosed,0.009387138756763643
studied,0.009385623320190913
odds,0.009296004717859274
free,0.009292931713071047
confidence,0.00924950733399977
aged,0.009242953797029415
influence,0.0091779157629917
preoperative,0.009177477776736855
liver,0.009143310331132805
older,0.009143238341704371
determined,0.00914074443470221
major,0.009140619863323849
compare,0.00912408188157017
26,0.009083606183942355
death,0.009082263178825588
smoking,0.009079156465245559
collected,0.009032902855650072
male,0.008997668545079352
duration,0.008974752760342071
31,0.00896056127211859
grade,0.008947349369846572
35,0.008919476889213037
length,0.008905517740163535
resection,0.008874877196731048
pre,0.008842607454778365
sex,0.008708729095776477
27,0.00870865211036977
undergoing,0.008642748190251934
severity,0.008630132430783395
80,0.008542815977775611
predictive,0.008530137858770123
90,0.008445393019762801
32,0.008403395136895099
defined,0.008402031948831247
mass,0.008393812697586043
70,0.008340042225002038
75,0.008326053404529186
45,0.008321933280940736
65,0.008208351454672847
33,0.008206107522167088
independent,0.008183993054762643
29,0.008149210450821263
multivariate,0.007803410785998021
